Country,AverageRating,MaxRating
CHINA,1881.8355316285329,3859.0
USA,2094.7903225806454,3833.0
RUSSIA,1969.1891891891892,3979.0
POLAND,2123.328767123288,3759.0
BULGARIA,2548.25,3402.0
UKRAINE,2113.0434782608695,3663.0
INDIA,1616.2513607125186,3597.0
SAMOA,3094.0,3681.0
JAPAN,2311.5940594059407,3650.0
BELARUS,1920.695652173913,3278.0
SOUTH KOREA,2071.7076023391814,3318.0
ANTARCTICA,1942.75,3047.0
CROATIA,2065.6111111111113,3204.0
HONG KONG,2197.735294117647,3081.0
HUNGARY,2280.5,3093.0
GERMANY,2085.5454545454545,3235.0
TAIWAN,1997.0232558139535,3064.0
IRAN,2005.775,3012.0
NETHERLANDS,2315.470588235294,3313.0
KAZAKHSTAN,1797.6218487394958,3020.0
VIETNAM,1761.8578431372548,2848.0
SINGAPORE,2139.2083333333335,3043.0
ENGLAND,1998.0454545454545,2953.0
PORTUGAL,2002.6666666666667,2667.0
TAJIKISTAN,1723.111111111111,2976.0
SERBIA,1943.5416666666667,3035.0
ISRAEL,2057.0,2898.0
BRAZIL,1836.938775510204,2841.0
CANADA,2104.904761904762,2788.0
PHILIPPINES,2055.5555555555557,2672.0
ITALY,1928.5,2689.0
ARGENTINA,2028.421052631579,2549.0
FINLAND,2271.0,2495.0
GHANA,2495.0,2495.0
INDONESIA,1861.7407407407406,2822.0
SLOVAKIA,1894.3333333333333,2865.0
LAOS,2604.5,2614.0
NORWAY,2131.0,2580.0
SYRIA,1690.3372093023256,2520.0
BANGLADESH,1620.9684542586751,2527.0
TURKEY,1880.409090909091,2465.0
AUSTRALIA,2049.0,2729.0
ROMANIA,1914.758064516129,2741.0
MEXICO,1679.7142857142858,2681.0
ARMENIA,1808.642857142857,2686.0
EGYPT,1608.981981981982,2506.0
CUBA,1761.2173913043478,2575.0
ICELAND,1964.0,2397.0
JORDAN,1643.125,2676.0
MOLDOVA,1896.375,2356.0
MALAYSIA,2226.6666666666665,2345.0
SWEDEN,1982.3333333333333,2339.0
LATVIA,2002.6,2323.0
THAILAND,1937.7692307692307,2459.0
MOROCCO,1721.25,2309.0
SPAIN,1832.2142857142858,2370.0
NORTH KOREA,2009.6666666666667,2306.0
GEORGIA,1953.0,2428.0
FRANCE,2110.5714285714284,2702.0
MONGOLIA,1757.5714285714287,2389.0
COLOMBIA,1647.0,2288.0
PAKISTAN,1690.3333333333333,2246.0
CYPRUS,2035.4,2292.0
SWITZERLAND,2016.2727272727273,2528.0
DOMINICAN REPUBLIC,2473.0,2473.0
UZBEKISTAN,1727.2380952380952,2258.0
PALESTINIAN TERRITORY,1600.875,2232.0
CHILE,1856.1666666666667,2217.0
BELGIUM,2188.0,2188.0
FIJI,1897.8,2176.0
SOUTH AFRICA,1852.0,2166.0
AZERBAIJAN,1663.0,2154.0
LITHUANIA,1776.2,2305.0
TUNISIA,1634.4545454545455,2117.0
CZECHIA,1837.0,2288.0
GIBRALTAR,2330.0,2330.0
PERU,1632.5,2199.0
ESTONIA,1815.5,2235.0
FAROE ISLANDS,2279.0,2279.0
SLOVENIA,1854.0,2109.0
BRITISH VIRGIN ISLANDS,2066.0,2066.0
AUSTRIA,2161.5,2298.0
MONTSERRAT,2033.0,2033.0
MACAO,1803.75,2120.0
UGANDA,1995.0,1995.0
GREECE,1990.0,1990.0
KYRGYZSTAN,1606.857142857143,2181.0
LEBANON,1670.4285714285713,1964.0
BOSNIA AND HERZEGOVINA,1619.5,2024.0
NEPAL,1688.3333333333333,2197.0
VATICAN,2004.0,2004.0
MADAGASCAR,1935.0,1935.0
BOLIVIA,1724.125,2185.0
ISLE OF MAN,2038.0,2038.0
NEW ZEALAND,1599.0,1599.0
IRELAND,1681.0,1681.0
SENEGAL,1579.0,1579.0
MONTENEGRO,1631.0,1631.0
ALGERIA,1567.5,1580.0
SAUDI ARABIA,1496.2,1547.0
ETHIOPIA,1528.5,1554.0
BHUTAN,1581.5,1713.0
NIGER,1530.0,1530.0
VANUATU,1524.0,1524.0
IVORY COAST,1665.0,1665.0
CHRISTMAS ISLAND,1585.0,1585.0
MONACO,1775.0,1775.0
NORTH MACEDONIA,1722.0,1722.0
SAINT KITTS AND NEVIS,1446.0,1446.0
CHAD,1408.0,1408.0
