Organisation,Country,maxRating,avgRating,numUsers
Jiangly Fan Club,China,3859,2083.586956521739,92
MIT,United States,3833,2751.1111111111113,18
ITMO University,Russia,3979,2032.0,27
Explosive Vegetable Club,China,3697,2975.8888888888887,9
Nanjing Foreign Language School,China,3690,2469.1739130434785,23
University of Warsaw,Poland,3759,2237.3809523809523,21
Chongqing Bashu Middle School,China,3447,2467.764705882353,17
RDFZ,China,3415,2391.409090909091,22
Swarthmore College,United States,3408,2844.5,2
University of Oxford,Bulgaria,3402,2588.4444444444443,9
Um_nik Training Center,Ukraine,3663,3123.5,2
William Lin fan-club,India,3381,2185.6,5
National University of Samoa,Samoa,3681,3094.0,2
The University of Tokyo,Japan,3650,2608.8,20
Nanjing University of Posts and Telecommunications,China,3296,2309.6666666666665,3
Google,India,3597,2309.3,20
Higher School of Economics,Russia,3410,2357.6666666666665,27
,China,3341,1788.9789609274367,2329
Tokyo Institute of Technology,Japan,3189,2578.1428571428573,7
Rabbit House,Japan,3338,2442.3333333333335,3
Indeed,Japan,3369,3369.0,1
The Affiliated High School of Peking University,China,3177,2689.4,5
Hangzhou No.2 High School,China,3344,2632.1111111111113,9
Harbour.Space University,Belarus,3278,3278.0,1
Seoul National University,South Korea,3318,2377.4242424242425,33
Carnegie Mellon University,United States,3161,2172.4545454545455,11
JohnVictor fan club,Antarctica,3047,2641.0,2
AtCoder,Japan,3251,3251.0,1
ASDFZ,China,3046,2393.5555555555557,9
Nanjing Jinling High School Hexi Compus,China,3011,2655.0,7
Saint-Petersburg SU,Russia,3200,2340.3333333333335,15
Nanjing University,China,3213,2179.0,7
University of Zagreb,Croatia,3204,2415.285714285714,7
Kyoto University,Japan,3385,2617.75,8
University of Cambridge,Hong Kong,3081,2261.4285714285716,7
Kessoku Band,Japan,2921,2334.6666666666665,3
ELTE,Hungary,3093,2369.0,4
Moscow IPT,Russia,3303,2149.5416666666665,24
JetBrains,Germany,3235,2805.0,2
Zhijiang University,China,2903,2888.0,2
Confucius Institute,China,2948,2948.0,1
Maksim1744 fan club,Russia,3096,3096.0,1
Tohoku University,Japan,3094,2634.0,4
Sun Yat-Sen Memorial Middle School,China,2885,2235.1,10
National Central University,Taiwan,3064,2653.5,2
Nada High School,Japan,2883,2883.0,1
Allame Helli,Iran,3012,2098.4375,16
Horváth Gyula Fan Club,Hungary,2874,2415.2,5
Paken,Japan,2909,2909.0,1
University of Texas at Austin,United States,2871,2378.6666666666665,6
Delft University of Technology,Netherlands,2950,2015.0,8
Boston University,United States,2854,2607.0,2
Tima's hata,Kazakhstan,3020,2542.0,3
Zhejiang University,China,3069,2380.2631578947367,19
Zhenhai Jiaochuan Academy,China,2841,2841.0,1
Beijing Normal University,China,2839,2728.0,2
Wuhan University of Technology,China,2834,2043.4,5
Beijing National Dianjing School,China,2855,2855.0,1
Blessing Software,Japan,3033,3033.0,1
USACO,United States,3147,2174.375,16
HUS High School for Gifted Student,Vietnam,2848,2277.4285714285716,7
University of Central Florida,United States,2812,1978.9166666666667,12
Beijing National Day School,China,2880,2483.0,3
FZYZ OI Group,China,2804,2657.25,4
pinely,Netherlands,3313,2864.25,4
Quzhou No.2 High School,China,2833,2491.5,4
Shaoxing No.1 High School,China,2784,2403.8333333333335,6
Team Canopus,Japan,2782,2782.0,1
Sharif FUT,Iran,2982,2480.5714285714284,7
Mahoushoujo's Gensokyo,China,2921,2921.0,1
The Hong Kong Polytechnic University,Hong Kong,2815,2482.5,2
Allvik06 hate-club,Russia,2843,2464.25,8
Seoul Science HS,South Korea,2781,2164.5,6
National University of Singapore,Singapore,3043,2254.375,8
AACPSCHOOL,Taiwan,3002,2299.5,2
Guangzhou No.6 Middle School,China,2749,2271.5,8
Shanghai Jiao Tong University,China,2785,2255.875,8
Jagiellonian University,Poland,2754,2297.7894736842104,19
University of Wrocław,Poland,2736,2143.3125,16
Osaka MUCT,Japan,2784,2784.0,1
Konata Fans Club,China,2728,2185.6,5
Peking University,China,2724,2252.4285714285716,7
Chengdu Foreign Languages School,China,2764,2274.2727272727275,11
Jump Trading,United Kingdom,2953,2819.5,2
The High School Attached to HNU,China,2717,2575.6666666666665,3
Capital Normal University High School,China,2716,2262.714285714286,7
Cocolis University,China,2906,2906.0,1
Affiliated Middle School of Guangzhou University,China,2715,2275.8333333333335,6
horny,Russia,2740,2144.68,25
Weiming Lake,China,2702,2702.0,1
Northeastern University,China,2833,2213.1428571428573,7
Allame Helli 3,Iran,2716,2014.3333333333333,3
Jinling H.S. Hexi Campus,China,2673,2673.0,1
Qyzylorda Bilim-Innovation,Kazakhstan,2666,1990.090909090909,11
Universität des Saarlandes,Germany,2887,2271.6666666666665,3
Xiao Zhan fan Club,China,2655,2630.5,2
Changjun High School,China,2654,2315.4545454545455,11
msannuoi,China,2650,2344.0,4
Shaoxing NO.1 high school 3304,China,2646,2189.5,4
Sunrin Internet High Shcool,South Korea,2644,2644.0,1
wang old boss make big money,China,2799,2799.0,1
Beihang University,China,2901,2152.1666666666665,18
University of Porto,Portugal,2667,2651.0,2
The Wrong Side Of Heaven,Iran,2656,2301.8333333333335,6
Shenzhen Middle School,China,2624,2146.8,10
ElectiCode,Tajikistan,2976,2191.0,2
University of Novi Sad,Serbia,3035,3035.0,1
Pandapythoner Fan Club,Serbia,2888,2888.0,1
Anshi Dafu Middle,China,2759,2562.4,5
qwaszx fan club,China,2611,2444.0,2
Yali Middle School,China,2651,2285.25,8
KAIST,South Korea,2668,2240.8947368421054,19
